silver_trips_sum,silver_payments_sum,gold_fact_sum,trips_count_silver,payments_count_silver,fact_trips_count_gold,fare_diff_silver,silver_vs_gold_sum_diff,trips_count_diff,checked_at
17327964.500000056,17327964.500000056,17327964.499999993,32948,32948,32948,0.0,6.332993507385254e-08,0,2025-08-26 23:44:12.738099
17327964.500000056,17327964.500000056,17327964.500000056,32948,32948,32948,0.0,0.0,0,2025-08-26 23:46:59.454082
17327964.500000056,17327964.500000056,17327964.499999993,32948,32948,32948,0.0,6.332993507385254e-08,0,2025-08-26 23:47:30.257396
